hostname,id,location,family,platformId,role,serialNumber,upTime,errorCode
PTT-TH-HO-B1-FL0B-C9300-FE-1.pttgrp.corp,84a25a94-0222-4680-a846-4f0e6ed16a53,,Switches and Hubs,"C9300-48U, C9300-48U",ACCESS,"FCW2250EHFV, FCW2250E0N2","53 days, 10:03:09.25",
PTT-TH-HO-B1-FL10-C9407-FE-1.pttgrp.corp,42276581-2b1f-4527-9a2f-46bfe3a5c99c,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1UC,"248 days, 16:59:40.57",
PTT-TH-HO-B1-FL11-C9407-FE-1.pttgrp.corp,f546f14e-293d-4cc1-95da-502ffe24dfb7,,Switches and Hubs,C9407R,ACCESS,FXS2248Q0YP,"203 days, 4:30:38.88",
PTT-TH-HO-B1-FL12-C9410-FE-1.pttgrp.corp,8851c576-2467-4eba-b64e-3744ded441e5,,Switches and Hubs,C9410R,ACCESS,FXS2247Q1HV,"248 days, 17:38:21.36",
PTT-TH-HO-B1-FL13-C9407-FE-1.pttgrp.corp,64b6d310-07f8-4b5a-9a70-24c13aa00fb7,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1VD,"247 days, 17:04:37.63",
PTT-TH-HO-B1-FL14-C9407-FE-1.pttgrp.corp,91514653-43ec-4014-9120-eb5740693a30,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1XB,"247 days, 17:34:53.50",
PTT-TH-HO-B1-FL15-C9407-FE-1.pttgrp.corp,332777e8-ab11-4474-a75d-e5096906385b,,Switches and Hubs,C9407R,ACCESS,FXS2248Q122,"246 days, 17:53:03.61",
PTT-TH-HO-B1-FL16-C9407-FE-1.pttgrp.corp,4145d8ec-2bcb-4c96-b098-a4c29a334cd5,,Switches and Hubs,C9407R,ACCESS,FXS2248Q12T,"203 days, 1:29:54.76",
PTT-TH-HO-B1-FL17-C9407-FE-1.pttgrp.corp,ade348ad-c6b8-4a90-a81d-2c74025c363a,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1V5,"246 days, 17:28:04.87",
PTT-TH-HO-B1-FL18-C9407-FE-1.pttgrp.corp,5b41c21e-195c-4f13-b18c-ab09d215f314,,Switches and Hubs,C9407R,ACCESS,FXS2248Q12U,"241 days, 17:16:30.78",
PTT-TH-HO-B1-FL19-C9407-FE-1.pttgrp.corp,648dccdf-06a4-44b3-bf59-44b8e05518c5,,Switches and Hubs,C9407R,ACCESS,FXS2249Q0L7,"241 days, 16:45:13.75",
PTT-TH-HO-B1-FL1-C9300-FE-1.pttgrp.corp,fe02984f-1de6-4f06-9230-6200eef688a3,,Switches and Hubs,C9300-48UXM,ACCESS,FOC2301U09L,"143 days, 18:55:46.14",
PTT-TH-HO-B1-FL20-C9407-FE-1.pttgrp.corp,fa3d8f4e-cfe5-4a42-b750-d8c4674dec85,,Switches and Hubs,C9407R,ACCESS,FXS2246Q4AY,"239 days, 16:47:09.69",
PTT-TH-HO-B1-FL21-C9407-FE-1.pttgrp.corp,ed61bc18-07b1-495c-8140-8538dc7bdb65,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1Y7,"239 days, 16:39:41.17",
PTT-TH-HO-B1-FL23-C9407-FE-1.pttgrp.corp,54e3bffe-f5aa-41fb-818c-8e729a009f1b,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1Y9,"238 days, 16:46:44.80",
PTT-TH-HO-B1-FL25-C9300-FE-1.pttgrp.corp,8304c5a2-da2e-41e3-8963-d9ebf245fb1a,,Switches and Hubs,"C9300-48U, C9300-48U",ACCESS,"FCW2250L0SB, FCW2250L0T6","234 days, 17:45:08.75",
PTT-TH-HO-B1-FL25-C9300-FE-2.pttgrp.corp,39f8bf2a-8135-455b-8620-d22f70ea96e1,,Switches and Hubs,C9300-24U,ACCESS,FCW2250DHGM,"203 days, 4:29:29.61",
PTT-TH-HO-B1-FL25-C9300-FE-3.pttgrp.corp,9ac985d1-92de-489f-8438-5d29f8091573,,Switches and Hubs,C9300-24U,ACCESS,FCW2250BHFK,"9 days, 10:00:18.53",
PTT-TH-HO-B1-FL3-C9407-FE-1.pttgrp.corp,36138545-b6ce-4b09-bc09-9d984f0afde9,,Switches and Hubs,C9407R,ACCESS,FXS2249Q0NU,"244 days, 20:33:00.60",
PTT-TH-HO-B1-FL4-C9407-FE-1.pttgrp.corp,0c5bd548-49eb-48ce-8481-20e27a153ff4,,Switches and Hubs,C9407R,ACCESS,FXS2249Q0NK,"193 days, 17:51:06.23",
PTT-TH-HO-B1-FL5-C9407-FE-1.pttgrp.corp,308d6b67-71a6-4db1-afbb-aaf7602744fd,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1VH,"203 days, 3:47:57.48",
PTT-TH-HO-B1-FL6-C9300-FE-1.pttgrp.corp,91c6cbd2-7074-475d-acd6-23410fdabbea,,Switches and Hubs,"C9300-48U, C9300-48U",ACCESS,"FCW2304D0U9, FCW2250L0SV","87 days, 17:31:28.44",
PTT-TH-HO-B1-FL6-C9407-FE-1.pttgrp.corp,bdc95653-33e5-46f6-b4fa-308a73d8c02c,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1VW,"203 days, 4:12:08.52",
PTT-TH-HO-B1-FL7-C9407-FE-1.pttgrp.corp,37195b93-f7a9-48fc-b718-59350d8e0dfa,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1V4,"203 days, 3:32:52.23",
PTT-TH-HO-B1-FL8-C9407-FE-1.pttgrp.corp,d5432e56-e1c8-4512-beaf-c933dd172ca4,,Switches and Hubs,C9407R,ACCESS,FXS2249Q0N3,"203 days, 4:10:04.02",
PTT-TH-HO-B1-FL9-C9407-FE-1.pttgrp.corp,38f83629-fb9f-4825-aeeb-bc29c9b5f5d8,,Switches and Hubs,C9407R,ACCESS,FXS2249Q1VJ,"252 days, 17:46:14.41",
PTT-TH-HO-B2-FL1-C9300-FE-1.pttgrp.corp,9cf61daa-d0d5-438d-8ab5-c98d053aec6b,,Switches and Hubs,C9300-48U,ACCESS,FCW2303CH6D,"34 days, 20:28:13.98",
PTT-TH-HO-B2-FL2-C9300-FE-1.pttgrp.corp,9f97f441-ef1b-4e9b-91d1-9b6bd9845a58,,Switches and Hubs,"C9300-48U, C9300-48U, C9300-48U, C9300-48U",ACCESS,"FCW2303CH67, FOC2304U0V3, FCW2303C02B, FCW2303D00L","35 days, 1:00:23.77",
PTT-TH-HO-B2-FL2-C9410-FE-1.pttgrp.corp,f435d57e-2cf2-4ceb-870f-465314ebffff,,Switches and Hubs,C9410R,ACCESS,FXS2251Q0A2,"35 days, 0:38:04.68",
PTT-TH-HO-B2-FL3-C9300-FE-1.pttgrp.corp,598312ca-9bbf-4443-b205-e1198fa36469,,Switches and Hubs,"C9300-48U, C9300-48U, C9300-48U",ACCESS,"FCW2250GHGQ, FCW2303GH53, FCW2303GH3B","35 days, 0:52:12.99",
PTT-TH-HO-B2-FL3-C9410-FE-1.pttgrp.corp,915eab49-4bcc-43ce-b342-73fe15d0a8c0,,Switches and Hubs,C9410R,ACCESS,FXS2250,"35 days, 0:45:06.21",
PTT-TH-HO-B2-FL4-C9300-FE-1.pttgrp.corp,12f6be00-1671-4f65-aa86-449ed91d59df,,Switches and Hubs,"C9300-48U, C9300-48U, C9300-48U",ACCESS,"FCW2304D0T5, FCW2250D0UJ, FCW2303CHBE","35 days, 0:49:25.28",
PTT-TH-HO-B2-FL4-C9410-FE-1.pttgrp.corp,80f1e536-9ce6-4d2d-a1df-9d0e52e1fe38,,Switches and Hubs,C9410R,ACCESS,FXS2251Q0A1,"35 days, 0:38:20.27",
PTT-TH-HO-B2-FL5-C9300-FE-1.pttgrp.corp,0e655e5d-b2c5-4abe-9e6a-8c8780a6038d,,Switches and Hubs,"C9300-48U, C9300-48U, C9300-48U",ACCESS,"FCW2303C02P, FCW2302D1LP, FOC2304U0U0","35 days, 0:45:51.07",
PTT-TH-HO-B2-FL5-C9410-FE-1.pttgrp.corp,732bc6a2-06a3-4a9f-b949-fcac8fcf0cc6,,Switches and Hubs,C9410R,ACCESS,FXS2249Q3ZG,"35 days, 0:37:03.22",
PTT-TH-HO-B2-FL6-C9300-FE-1.pttgrp.corp,2c5807b2-d7a9-456d-9eac-99bc4be94ced,,Switches and Hubs,C9300-48U,ACCESS,FCW2304C0QT,"35 days, 0:43:03.61",
PTT-TH-HO-B2-FL6-C9410-FE-1.pttgrp.corp,5575bbcb-436c-4ce4-b384-30fdc8d99859,,Switches and Hubs,C9410R,ACCESS,FXS2250Q4P6,"10 days, 20:37:13.70",
